,shot_id,url
5070,17649,s3://mast/level1/shots/17649.zarr
5071,17650,s3://mast/level1/shots/17650.zarr
5072,17651,s3://mast/level1/shots/17651.zarr
5073,17652,s3://mast/level1/shots/17652.zarr
5074,17653,s3://mast/level1/shots/17653.zarr
5075,17654,s3://mast/level1/shots/17654.zarr
5076,17655,s3://mast/level1/shots/17655.zarr
5077,17656,s3://mast/level1/shots/17656.zarr
5078,17657,s3://mast/level1/shots/17657.zarr
5079,17658,s3://mast/level1/shots/17658.zarr
5080,17659,s3://mast/level1/shots/17659.zarr
5081,17660,s3://mast/level1/shots/17660.zarr
5082,17661,s3://mast/level1/shots/17661.zarr
5083,17663,s3://mast/level1/shots/17663.zarr
5084,17664,s3://mast/level1/shots/17664.zarr
5085,17665,s3://mast/level1/shots/17665.zarr
5086,17666,s3://mast/level1/shots/17666.zarr
5087,17667,s3://mast/level1/shots/17667.zarr
5088,17668,s3://mast/level1/shots/17668.zarr
5089,17669,s3://mast/level1/shots/17669.zarr
5090,17670,s3://mast/level1/shots/17670.zarr
5091,17671,s3://mast/level1/shots/17671.zarr
5092,17673,s3://mast/level1/shots/17673.zarr
5093,17674,s3://mast/level1/shots/17674.zarr
5094,17675,s3://mast/level1/shots/17675.zarr
5095,17676,s3://mast/level1/shots/17676.zarr
5096,17678,s3://mast/level1/shots/17678.zarr
5097,17679,s3://mast/level1/shots/17679.zarr
5098,17680,s3://mast/level1/shots/17680.zarr
5099,17681,s3://mast/level1/shots/17681.zarr
5100,17682,s3://mast/level1/shots/17682.zarr
5101,17683,s3://mast/level1/shots/17683.zarr
5102,17684,s3://mast/level1/shots/17684.zarr
5103,17685,s3://mast/level1/shots/17685.zarr
5104,17686,s3://mast/level1/shots/17686.zarr
5105,17689,s3://mast/level1/shots/17689.zarr
5106,17690,s3://mast/level1/shots/17690.zarr
5107,17691,s3://mast/level1/shots/17691.zarr
5108,17692,s3://mast/level1/shots/17692.zarr
5109,17693,s3://mast/level1/shots/17693.zarr
5110,17695,s3://mast/level1/shots/17695.zarr
5111,17696,s3://mast/level1/shots/17696.zarr
5112,17697,s3://mast/level1/shots/17697.zarr
5113,17700,s3://mast/level1/shots/17700.zarr
5114,17701,s3://mast/level1/shots/17701.zarr
5115,17702,s3://mast/level1/shots/17702.zarr
5116,17703,s3://mast/level1/shots/17703.zarr
5117,17704,s3://mast/level1/shots/17704.zarr
5118,17706,s3://mast/level1/shots/17706.zarr
5119,17707,s3://mast/level1/shots/17707.zarr
5120,17708,s3://mast/level1/shots/17708.zarr
5121,17709,s3://mast/level1/shots/17709.zarr
5122,17710,s3://mast/level1/shots/17710.zarr
5123,17711,s3://mast/level1/shots/17711.zarr
5124,17770,s3://mast/level1/shots/17770.zarr
5125,17712,s3://mast/level1/shots/17712.zarr
5126,17713,s3://mast/level1/shots/17713.zarr
5127,17714,s3://mast/level1/shots/17714.zarr
5128,17715,s3://mast/level1/shots/17715.zarr
5129,17716,s3://mast/level1/shots/17716.zarr
5130,17717,s3://mast/level1/shots/17717.zarr
5131,17718,s3://mast/level1/shots/17718.zarr
5132,17719,s3://mast/level1/shots/17719.zarr
5133,17720,s3://mast/level1/shots/17720.zarr
5134,17721,s3://mast/level1/shots/17721.zarr
5135,17722,s3://mast/level1/shots/17722.zarr
5136,17723,s3://mast/level1/shots/17723.zarr
5137,17724,s3://mast/level1/shots/17724.zarr
5138,17725,s3://mast/level1/shots/17725.zarr
5139,17726,s3://mast/level1/shots/17726.zarr
5140,17727,s3://mast/level1/shots/17727.zarr
5141,17728,s3://mast/level1/shots/17728.zarr
5142,17729,s3://mast/level1/shots/17729.zarr
5143,17730,s3://mast/level1/shots/17730.zarr
5144,17731,s3://mast/level1/shots/17731.zarr
5145,17732,s3://mast/level1/shots/17732.zarr
5146,17733,s3://mast/level1/shots/17733.zarr
5147,17734,s3://mast/level1/shots/17734.zarr
5148,17735,s3://mast/level1/shots/17735.zarr
5149,17736,s3://mast/level1/shots/17736.zarr
5150,17771,s3://mast/level1/shots/17771.zarr
5151,17737,s3://mast/level1/shots/17737.zarr
5152,17738,s3://mast/level1/shots/17738.zarr
5153,17739,s3://mast/level1/shots/17739.zarr
5154,17740,s3://mast/level1/shots/17740.zarr
5155,17741,s3://mast/level1/shots/17741.zarr
5156,17742,s3://mast/level1/shots/17742.zarr
5157,17743,s3://mast/level1/shots/17743.zarr
5158,17745,s3://mast/level1/shots/17745.zarr
5159,17746,s3://mast/level1/shots/17746.zarr
5160,17747,s3://mast/level1/shots/17747.zarr
5161,17748,s3://mast/level1/shots/17748.zarr
5162,17750,s3://mast/level1/shots/17750.zarr
5163,17752,s3://mast/level1/shots/17752.zarr
5164,17753,s3://mast/level1/shots/17753.zarr
5165,17754,s3://mast/level1/shots/17754.zarr
5166,17756,s3://mast/level1/shots/17756.zarr
5167,17757,s3://mast/level1/shots/17757.zarr
5168,17758,s3://mast/level1/shots/17758.zarr
5169,17759,s3://mast/level1/shots/17759.zarr
5170,17760,s3://mast/level1/shots/17760.zarr
5171,17761,s3://mast/level1/shots/17761.zarr
5172,17762,s3://mast/level1/shots/17762.zarr
5173,17763,s3://mast/level1/shots/17763.zarr
5174,17764,s3://mast/level1/shots/17764.zarr
5175,17765,s3://mast/level1/shots/17765.zarr
5176,17766,s3://mast/level1/shots/17766.zarr
5177,17767,s3://mast/level1/shots/17767.zarr
5178,17768,s3://mast/level1/shots/17768.zarr
5179,17769,s3://mast/level1/shots/17769.zarr
5180,17801,s3://mast/level1/shots/17801.zarr
5181,17772,s3://mast/level1/shots/17772.zarr
5182,17773,s3://mast/level1/shots/17773.zarr
5183,17774,s3://mast/level1/shots/17774.zarr
5184,17775,s3://mast/level1/shots/17775.zarr
5185,17776,s3://mast/level1/shots/17776.zarr
5186,17777,s3://mast/level1/shots/17777.zarr
5187,17778,s3://mast/level1/shots/17778.zarr
5188,17779,s3://mast/level1/shots/17779.zarr
5189,17780,s3://mast/level1/shots/17780.zarr
5190,17781,s3://mast/level1/shots/17781.zarr
5191,17782,s3://mast/level1/shots/17782.zarr
5192,17783,s3://mast/level1/shots/17783.zarr
5193,17784,s3://mast/level1/shots/17784.zarr
5194,17785,s3://mast/level1/shots/17785.zarr
5195,17786,s3://mast/level1/shots/17786.zarr
5196,17787,s3://mast/level1/shots/17787.zarr
5197,17788,s3://mast/level1/shots/17788.zarr
5198,17789,s3://mast/level1/shots/17789.zarr
5199,17790,s3://mast/level1/shots/17790.zarr
5200,17791,s3://mast/level1/shots/17791.zarr
5201,17792,s3://mast/level1/shots/17792.zarr
5202,17793,s3://mast/level1/shots/17793.zarr
5203,17794,s3://mast/level1/shots/17794.zarr
5204,17795,s3://mast/level1/shots/17795.zarr
5205,17796,s3://mast/level1/shots/17796.zarr
5206,17797,s3://mast/level1/shots/17797.zarr
5207,17798,s3://mast/level1/shots/17798.zarr
